idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
1,18.8,6 x 60g,,drip (alternative brewing methods),light,beans,100% Arabica,,360,52.22
2,7.98,250 g,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,250,31.92
3,9.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,39.2
4,9.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,39.2
5,8.8,250 g,Natural,drip (alternative brewing methods),dark,beans,100% Arabica,Indonezja,250,35.2
6,5.19,250 g,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,250,20.76
7,9,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,200,45
8,35,125 g,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Panama,125,280
9,1.1,11 g,,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,11,100
10,11.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,250,45.6
11,15.8,252 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,252,62.7
12,13.2,252 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,252,52.38
13,12.8,8 x 11g,Natural,drip (alternative brewing methods),medium,ground,100% Arabica,Brazylia,88,145.45
14,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,60
15,12.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,50.4
16,12.8,8 x 11g,Natural,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,88,145.45
17,12.8,8 x 11g,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Gwatemala,88,145.45
18,10.4,200 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,200,52
19,17.8,200 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,200,89
20,22,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,88
21,8.4,250 g,Washed,drip (alternative brewing methods),medium,beans,100% Arabica,Etiopia,250,33.6
22,9.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,,250,37.6
23,21,5 x 100g,,drip (alternative brewing methods),light,beans,100% Arabica,,400,52.5
24,12.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,48.8
25,12.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,50.4
26,23.8,1 kg,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",1000,23.8
27,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,46.4
28,12.6,250 g,Washed Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,50.4
29,11.2,250 g,Red Honey,drip (alternative brewing methods),light,beans,100% Arabica,Indie,250,44.8
30,11.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,44.8
31,11.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,44.8
32,11.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,44.8
33,12.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,50.4
34,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,44
35,11.8,250 g,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,47.2
