idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
1,Monsooning,drip (alternative brewing methods),light,beans,100% Arabica,Laos,52.22
2,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,31.92
3,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,39.2
4,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,39.2
5,Natural,drip (alternative brewing methods),dark,beans,100% Arabica,Indonezja,35.2
6,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,20.76
7,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,45
8,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Panama,280
9,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,100
10,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,45.6
11,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,62.7
12,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,52.38
13,Natural,drip (alternative brewing methods),medium,ground,100% Arabica,Brazylia,145.45
14,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,60
15,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,50.4
16,Natural,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,145.45
17,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Gwatemala,145.45
18,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,52
19,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,89
20,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,88
21,Washed,drip (alternative brewing methods),medium,beans,100% Arabica,Etiopia,33.6
22,Natural,drip (alternative brewing methods),light,beans,100% Arabica,"Kenia, Indie",37.6
23,Monsooning,drip (alternative brewing methods),light,beans,100% Arabica,Laos,52.5
24,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,48.8
25,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,50.4
26,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",23.8
27,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,46.4
28,Washed Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,50.4
29,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Indie,44.8
30,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,44.8
31,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,44.8
32,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,44.8
33,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,50.4
34,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,44
35,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,47.2
36,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,39.2
37,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,96
38,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,102.4
39,Monsooning,drip (alternative brewing methods),light,beans,100% Arabica,Laos,26.4
40,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,38.4
41,Macerated Natural,drip (alternative brewing methods),light,ground,100% Arabica,Brazylia,81.82
42,Macerated Natural,drip (alternative brewing methods),light,ground,100% Arabica,Brazylia,71.59
43,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,90.91
44,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,79.55
45,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Honduras,81.82
46,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Honduras,71.59
47,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Kenia,100
48,Washed,drip (alternative brewing methods),light,ground,100% Arabica,Kenia,87.5
49,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,79.55
50,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,"Honduras, Kolumbia, Peru",73.86
51,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,41.6
52,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,29.2
53,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,44
54,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,45
55,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,48
56,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,45
57,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,42
58,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,45
60,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,46.4
61,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,47.2
62,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,42.4
63,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,44
64,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,44
65,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,21.6
66,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Chiny,43.2
67,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40
68,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40
69,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,40
70,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,40
71,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,43.2
72,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Mjanma,43.2
73,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,28
74,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,32
75,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,44
76,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40.8
77,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,56
78,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,24
79,Pulped natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,24
80,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,33.6
81,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,35.2
82,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,24
83,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,57.6
84,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,31.2
85,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,33.6
86,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,34.4
87,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,32
88,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,43.33
89,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,34.67
90,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,46.67
91,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,44.67
92,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,39.33
93,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,27.2
94,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40.8
95,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,42.4
96,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,53.6
97,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,40
98,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,44
99,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,44
100,Yellow Bourbon,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,46.4
101,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,56
102,Natural,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, Kenia",31.8
103,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,51.2
104,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,39.2
105,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,46.4
106,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,38.4
107,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40
108,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40
109,Aerobic Fermentation in Piles,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,44
110,Yeast Process,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,47.2
111,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,48
112,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,51.2
113,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,51.2
114,Washed Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,51.2
115,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,54.4
116,Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,54.4
117,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,54.4
118,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,56
119,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,48
120,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,48
121,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Peru,40
122,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",21
123,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,"Brazylia, inne",23.2
124,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,29
125,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,32
126,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,30.8
127,Semi-washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,30
128,Semi-washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,32.8
129,Semi-washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,31.6
130,Semi-washed,drip (alternative brewing methods),light,ground,100% Arabica,"Honduras, Kolumbia, Peru",20
131,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,38.08
132,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,41.6
133,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,33.6
134,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,33.6
135,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,63.2
136,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,62.4
137,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,60
138,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,44
139,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,23.2
140,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,39.2
141,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,44
142,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,44
143,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,79
144,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,44
145,Anaerobic natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,55.2
146,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Uganda,44
147,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Uganda,32.12
148,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,45.6
149,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,44
150,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,48
151,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,44.8
152,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,40
153,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,60
154,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,40
155,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,40
156,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,42.4
157,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,53.6
158,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,34.4
159,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,45
160,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,47
161,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,38
162,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,78.4
163,Rum Aged,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,69.3
164,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,52.8
165,Macerated Natural,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,52.8
166,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,88
167,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Boliwia,58.4
168,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,75
169,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,89
170,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,82
171,CRYO,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,73
172,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,48
173,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,46.4
174,Yeast Process,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,52
175,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,48
176,Pulped natural,drip (alternative brewing methods),medium,beans,100% Arabica,Brazylia,26.4
177,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,47.2
178,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,39.2
179,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,40
180,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,47.2
181,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,33.04
182,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,54.4
183,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,47.2
184,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,46.4
185,Washed and natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,48
186,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,46.4
187,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,36
188,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,36
189,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,32.8
190,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,39.2
191,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,36
192,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,36
193,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,54.4
194,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,33.6
195,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,44
196,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,26.4
197,"Washed, Barrel Aged",drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,51.2
198,Washed,drip (alternative brewing methods),medium,beans,100% Arabica,Salwador,33.6
199,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Sumatra,31.6
200,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,33.6
201,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,39
202,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40
203,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,47.2
