idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%)
1,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,52.22,100
2,Natural,drip (alternative brewing methods),medium,beans,Brazylia,31.92,100
3,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100
4,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100
5,Natural,drip (alternative brewing methods),dark,beans,Indonezja,35.2,100
6,Natural,drip (alternative brewing methods),medium,beans,Brazylia,20.76,100
7,Washed,drip (alternative brewing methods),light,beans,Kenia,45.0,100
8,Carbonic Maceration,drip (alternative brewing methods),light,beans,Panama,280.0,100
9,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,100.0,100
10,Washed,drip (alternative brewing methods),light,beans,Salwador,45.6,100
11,Honey,drip (alternative brewing methods),light,beans,Boliwia,62.7,100
12,Honey,drip (alternative brewing methods),light,beans,Honduras,52.38,100
13,Natural,drip (alternative brewing methods),medium,ground,Brazylia,145.45,100
14,Natural,drip (alternative brewing methods),light,beans,Burundi,60.0,100
15,Washed,drip (alternative brewing methods),light,beans,Burundi,50.4,100
16,Natural,drip (alternative brewing methods),light,ground,Etiopia,145.45,100
17,Washed,drip (alternative brewing methods),light,ground,Gwatemala,145.45,100
18,Natural,drip (alternative brewing methods),light,beans,Honduras,52.0,100
19,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100
20,Washed,drip (alternative brewing methods),light,beans,Kolumbia,88.0,100
21,Washed,drip (alternative brewing methods),medium,beans,Etiopia,33.6,100
22,Natural,drip (alternative brewing methods),light,beans,Kostaryka,37.6,100
23,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,52.5,100
24,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48.8,100
25,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100
26,Washed,drip (alternative brewing methods),light,beans,Brazil and others,23.8,100
27,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100
28,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,50.4,100
29,Red Honey,drip (alternative brewing methods),light,beans,Indie,44.8,100
30,Washed,drip (alternative brewing methods),light,beans,Peru,44.8,100
31,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100
32,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100
33,Natural,drip (alternative brewing methods),light,beans,Etiopia,50.4,100
34,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100
35,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,47.2,100
36,Washed,drip (alternative brewing methods),light,beans,Kolumbia,39.2,100
37,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,96.0,100
38,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,102.4,100
39,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,26.4,100
40,Washed,drip (alternative brewing methods),light,beans,Rwanda,38.4,100
41,Natural,drip (alternative brewing methods),light,ground,Brazylia,81.82,100
42,Natural,drip (alternative brewing methods),light,ground,Brazylia,71.59,100
43,Washed,drip (alternative brewing methods),light,ground,Etiopia,90.91,100
44,Washed,drip (alternative brewing methods),light,ground,Etiopia,79.55,100
