idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew,Washed,Natural,Fermented/macerated (traditional),Fermented/macerated (closed tank),process_general,region of origin
1,Monsooning,drip (alternative brewing methods),light,beans,Laos,52.22,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Monsooning,Asia
2,Natural,drip (alternative brewing methods),medium,beans,Brazylia,31.92,100,TRUE,medium_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
3,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
4,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
5,Natural,drip (alternative brewing methods),dark,beans,Indonezja,35.2,100,TRUE,dark_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Asia
6,Natural,drip (alternative brewing methods),medium,beans,Brazylia,20.76,100,TRUE,medium_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
7,Washed,drip (alternative brewing methods),light,beans,Kenia,45,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
9,Semi-washed,drip (alternative brewing methods),light,ground,Kolumbia,100,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,TRUE,FALSE,Semi-washed,Latam
10,Washed,drip (alternative brewing methods),light,beans,Salwador,45.6,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
11,Honey,drip (alternative brewing methods),light,beans,Boliwia,62.7,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
12,Honey,drip (alternative brewing methods),light,beans,Honduras,52.38,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Latam
13,Natural,drip (alternative brewing methods),medium,ground,Brazylia,145.45,100,TRUE,medium_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
14,Natural,drip (alternative brewing methods),light,beans,Burundi,60,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
15,Washed,drip (alternative brewing methods),light,beans,Burundi,50.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
16,Natural,drip (alternative brewing methods),light,ground,Etiopia,145.45,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
17,Washed,drip (alternative brewing methods),light,ground,Gwatemala,145.45,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
18,Natural,drip (alternative brewing methods),light,beans,Honduras,52,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
19,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
20,Washed,drip (alternative brewing methods),light,beans,Kolumbia,88,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
21,Washed,drip (alternative brewing methods),medium,beans,Etiopia,33.6,100,TRUE,medium_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
22,Natural,drip (alternative brewing methods),light,beans,"Kenia, Indie",37.6,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Mixed
23,Monsooning,drip (alternative brewing methods),light,beans,Laos,52.5,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,FALSE,Monsooning,Asia
24,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
25,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Latam
26,Washed,drip (alternative brewing methods),light,beans,"Brazylia, inne",23.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Mixed
27,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
28,Washed Anaerobic,drip (alternative brewing methods),light,beans,Honduras,50.4,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,TRUE,Fermented,Latam
29,Honey,drip (alternative brewing methods),light,beans,Indie,44.8,100,TRUE,light_drip (alternative brewing methods),TRUE,TRUE,TRUE,FALSE,Honey,Asia
30,Washed,drip (alternative brewing methods),light,beans,Peru,44.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
31,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
32,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Africa
33,Natural,drip (alternative brewing methods),light,beans,Etiopia,50.4,100,TRUE,light_drip (alternative brewing methods),FALSE,TRUE,FALSE,FALSE,Natural,Africa
34,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44,100,TRUE,light_drip (alternative brewing methods),TRUE,FALSE,FALSE,FALSE,Washed,Latam
35,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,47.2,100,TRUE,light_drip (alternative brewing methods),FALSE,FALSE,FALSE,TRUE,Fermented,Latam
