idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
1,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,52.22,100,True,light_drip (alternative brewing methods)
2,Natural,drip (alternative brewing methods),medium,beans,Brazylia,31.92,100,True,medium_drip (alternative brewing methods)
3,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods)
4,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods)
5,Natural,drip (alternative brewing methods),dark,beans,Indonezja,35.2,100,True,dark_drip (alternative brewing methods)
6,Natural,drip (alternative brewing methods),medium,beans,Brazylia,20.76,100,True,medium_drip (alternative brewing methods)
7,Washed,drip (alternative brewing methods),light,beans,Kenia,45.0,100,True,light_drip (alternative brewing methods)
9,Red Honey,drip (alternative brewing methods),light,ground,Kolumbia,100.0,100,True,light_drip (alternative brewing methods)
10,Washed,drip (alternative brewing methods),light,beans,Salwador,45.6,100,True,light_drip (alternative brewing methods)
11,Honey,drip (alternative brewing methods),light,beans,Boliwia,62.7,100,True,light_drip (alternative brewing methods)
12,Honey,drip (alternative brewing methods),light,beans,Honduras,52.38,100,True,light_drip (alternative brewing methods)
13,Natural,drip (alternative brewing methods),medium,ground,Brazylia,145.45,100,True,medium_drip (alternative brewing methods)
14,Natural,drip (alternative brewing methods),light,beans,Burundi,60.0,100,True,light_drip (alternative brewing methods)
15,Washed,drip (alternative brewing methods),light,beans,Burundi,50.4,100,True,light_drip (alternative brewing methods)
16,Natural,drip (alternative brewing methods),light,ground,Etiopia,145.45,100,True,light_drip (alternative brewing methods)
17,Washed,drip (alternative brewing methods),light,ground,Gwatemala,145.45,100,True,light_drip (alternative brewing methods)
18,Natural,drip (alternative brewing methods),light,beans,Honduras,52.0,100,True,light_drip (alternative brewing methods)
19,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100,True,light_drip (alternative brewing methods)
20,Washed,drip (alternative brewing methods),light,beans,Kolumbia,88.0,100,True,light_drip (alternative brewing methods)
21,Washed,drip (alternative brewing methods),medium,beans,Etiopia,33.6,100,True,medium_drip (alternative brewing methods)
22,Natural,drip (alternative brewing methods),light,beans,Kostaryka,37.6,100,True,light_drip (alternative brewing methods)
23,Macerated Natural,drip (alternative brewing methods),light,beans,Laos,52.5,100,True,light_drip (alternative brewing methods)
24,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48.8,100,True,light_drip (alternative brewing methods)
25,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100,True,light_drip (alternative brewing methods)
26,Washed,drip (alternative brewing methods),light,beans,Brazil and others,23.8,100,True,light_drip (alternative brewing methods)
27,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods)
28,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,50.4,100,True,light_drip (alternative brewing methods)
29,Red Honey,drip (alternative brewing methods),light,beans,Indie,44.8,100,True,light_drip (alternative brewing methods)
30,Washed,drip (alternative brewing methods),light,beans,Peru,44.8,100,True,light_drip (alternative brewing methods)
31,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100,True,light_drip (alternative brewing methods)
32,Washed,drip (alternative brewing methods),light,beans,Rwanda,44.8,100,True,light_drip (alternative brewing methods)
33,Natural,drip (alternative brewing methods),light,beans,Etiopia,50.4,100,True,light_drip (alternative brewing methods)
34,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100,True,light_drip (alternative brewing methods)
35,Anaerobic,drip (alternative brewing methods),light,beans,Honduras,47.2,100,True,light_drip (alternative brewing methods)
36,Washed,drip (alternative brewing methods),light,beans,Kolumbia,39.2,100,True,light_drip (alternative brewing methods)
37,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,96.0,100,True,light_drip (alternative brewing methods)
38,Carbonic Maceration,drip (alternative brewing methods),light,beans,Gwatemala,102.4,100,True,light_drip (alternative brewing methods)
