,process,brewing_method,roast,grind,origin,price_per_kg,percentage_of_arabica,pure_arabica,roast_brew,Washed,Natural,Fermented_traditional,Fermented_closedtank,process_general,region_of_origin
0,Monsooning,drip (alternative brewing methods),light,beans,Laos,52.22,100,True,light_drip (alternative brewing methods),False,False,False,False,Monsooning,Asia
1,Natural,drip (alternative brewing methods),medium,beans,Brazylia,31.92,100,True,medium_drip (alternative brewing methods),False,True,False,False,Natural,Latam
2,Natural,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
3,Washed,drip (alternative brewing methods),light,beans,Etiopia,39.2,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
4,Natural,drip (alternative brewing methods),dark,beans,Indonezja,35.2,100,True,dark_drip (alternative brewing methods),False,True,False,False,Natural,Asia
5,Natural,drip (alternative brewing methods),medium,beans,Brazylia,20.76,100,True,medium_drip (alternative brewing methods),False,True,False,False,Natural,Latam
6,Washed,drip (alternative brewing methods),light,beans,Kenia,45.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
8,Washed,drip (alternative brewing methods),light,beans,Salwador,45.6,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
9,Honey,drip (alternative brewing methods),light,beans,Boliwia,62.7,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
10,Honey,drip (alternative brewing methods),light,beans,Honduras,52.38,100,True,light_drip (alternative brewing methods),True,True,True,False,Honey,Latam
12,Natural,drip (alternative brewing methods),light,beans,Burundi,60.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Africa
13,Washed,drip (alternative brewing methods),light,beans,Burundi,50.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
16,Natural,drip (alternative brewing methods),light,beans,Honduras,52.0,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
17,Washed,drip (alternative brewing methods),light,beans,Kolumbia,89.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
18,Washed,drip (alternative brewing methods),light,beans,Kolumbia,88.0,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
19,Washed,drip (alternative brewing methods),medium,beans,Etiopia,33.6,100,True,medium_drip (alternative brewing methods),True,False,False,False,Washed,Africa
20,Natural,drip (alternative brewing methods),light,beans,"Kenia, Indie",37.6,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Mixed
21,Monsooning,drip (alternative brewing methods),light,beans,Laos,52.5,100,True,light_drip (alternative brewing methods),False,False,False,False,Monsooning,Asia
22,Washed,drip (alternative brewing methods),light,beans,Kolumbia,48.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Latam
23,Natural,drip (alternative brewing methods),light,beans,Kolumbia,50.4,100,True,light_drip (alternative brewing methods),False,True,False,False,Natural,Latam
24,Washed,drip (alternative brewing methods),light,beans,"Brazylia, inne",23.8,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Mixed
25,Washed,drip (alternative brewing methods),light,beans,Etiopia,46.4,100,True,light_drip (alternative brewing methods),True,False,False,False,Washed,Africa
